clip,dlaeq_s1_matched_lufs,dlaeq_s2_matched_lufs,dlufs_s1_matched_laeq,dlufs_s2_matched_laeq
165523__zemidlo__snare-roll-hit-crash,0.045661746715097706,0.1991379605971062,-0.045661746715097706,-0.19913796059710975
179270__speedenza__poem-statue-of-jupiter-voice,0.8402282799771257,-0.1809328807387871,-0.8450692989995012,0.176091861716408
189635__klankbeeld__choir-amen-130525_14,0.0276677463121473,-0.023641592719656046,-0.027667746312140196,0.02364159271966315
269906__theriavirra__02_crash_loud_cymbals__snares,-0.007609575822954184,0.02208698926432362,0.007609575822975501,-0.022086989264305856
380303__evanboyerman__various-male-command-voice-lines-mixed,-0.11540183943117199,-1.1886657924552964,0.11540183943116844,1.1833626176325893
431525__evanboyerman__british-soldiers-monologue-voice-actingmalevoice-over,1.4397727001602902,-0.07248153589314654,-1.4397727001602725,0.07248153589314299
479941__liezen3__men-choir,0.03596995887633625,-0.009321774841296815,-0.035969958876329144,0.00932177484128971
529808__logicogonist__bass-loop-and-drums-130-bpm,2.301682101106522,-0.6934661853883171,-2.301682101106511,0.6934661853883366
541260__bertsz__drum-and-bass-loop,1.6119438752230764,-0.9568263591515063,-1.611943875223064,0.9568263591515169
627643__asiilanna__female-vocal,-0.06867779995185685,-0.16380755412559722,0.0686777999518462,0.16380755412559012
628213__josefpres__bass-loops-033-with-drums-long-loop-120-bpm,1.5919660874724428,-0.004424197204784264,-1.5919660874724428,0.004424197204759395
629137__holizna__funky-lofi-drum-loop-88-bpm,1.6338838756493175,-1.078533950766996,-1.6338838756493388,1.0785339507670528
629139__holizna__boombap-drums-90-bpm,2.6740826447987587,-0.5078928180430466,-2.6740826447987764,0.5078928180430182
657761__kevp888__221029_2225_fr_malechoir,0.22126286642845372,-1.6606656195961023e-05,-0.22126286642846082,1.6606656195961023e-05
735157__jadis0x__simple-music-loop-bass-keys-drums,2.070791324441487,-0.1840311729552866,-2.070791324441476,0.18403117295529015
739037__acoustiangel__acoustiangel,0.3840434600482965,-0.0253178066436206,-0.3840434600483036,0.025317806643613494
bass_heavy,4.906874567699177,2.7713989027233765e-05,-4.906874567699113,-2.771398895617949e-05
mixed,3.874205474743789,-0.35150593303951894,-3.8742054747436576,0.35150593303961486
speech_like,0.007112293359256228,-0.11447695107636946,-0.007112293359263333,0.11447695107638012
transient,0.01363688662659257,-9.074064593050934e-07,-0.01363688662659257,9.074064664105208e-07
